transaction_id,customer_id,menu_id,menu_name,category,quantity,price,total_price,transaction_date,transaction_time
TRX02215,C0128,M012,Caramel Macchiato,Coffee,3,33000,99000,2024-11-08,11:51:00
TRX02281,C0197,M013,Vietnamese Drip,Coffee,1,27000,27000,2024-12-16,15:17:00
TRX02123,C0018,M011,Pasta Carbonara,Food,3,45000,135000,2024-12-28,17:40:00
TRX01874,C0045,M002,Cappuccino,Coffee,2,30000,60000,2024-07-20,15:33:00
TRX01910,C0018,M004,Espresso,Coffee,2,18000,36000,2025-04-15,08:16:00
TRX02586,C0131,M012,Caramel Macchiato,Coffee,1,33000,33000,2025-06-05,11:06:00
TRX02657,C0017,M001,Kopi Latte,Coffee,1,28000,28000,2025-02-12,10:04:00
TRX02318,C0001,M005,Matcha Latte,Non-Coffee,1,32000,32000,2024-08-01,20:18:00
TRX01012,C0029,M015,Cheesecake,Food,1,30000,30000,2024-10-23,17:21:00
TRX01608,C0154,M012,Caramel Macchiato,Coffee,1,33000,33000,2025-01-14,14:54:00
TRX02322,C0184,M001,Kopi Latte,Coffee,2,28000,56000,2025-05-13,13:19:00
TRX01888,C0036,M002,Cappuccino,Coffee,1,30000,30000,2024-12-20,21:37:00
TRX01315,C0159,M011,Pasta Carbonara,Food,3,45000,135000,2024-10-23,17:36:00
TRX00336,C0105,M008,Croissant,Food,2,25000,50000,2024-11-29,19:59:00
TRX02860,C0105,M008,Croissant,Food,1,25000,25000,2024-10-29,09:46:00
TRX02480,C0171,M003,Americano,Coffee,1,22000,22000,2024-10-29,14:38:00
TRX02311,C0108,M004,Espresso,Coffee,1,18000,18000,2024-09-03,08:32:00
TRX01525,C0098,M006,Chocolate Frappe,Non-Coffee,1,35000,35000,2025-04-11,12:29:00
TRX01558,C0161,M012,Caramel Macchiato,Coffee,1,33000,33000,2024-09-13,21:50:00
TRX01967,C0166,M003,Americano,Coffee,1,22000,22000,2025-05-25,21:35:00
TRX02473,C0129,M012,Caramel Macchiato,Coffee,1,33000,33000,2025-03-04,09:44:00
TRX02088,C0046,M002,Cappuccino,Coffee,1,30000,30000,2025-02-07,15:12:00
TRX02571,C0196,M013,Vietnamese Drip,Coffee,1,27000,27000,2024-09-22,17:41:00
TRX00390,C0172,M003,Americano,Coffee,1,22000,22000,2024-08-04,13:22:00
TRX02471,C0199,M007,Teh Tarik,Non-Coffee,1,15000,15000,2024-08-11,20:21:00
TRX02280,C0156,M003,Americano,Coffee,1,22000,22000,2025-05-17,13:07:00
TRX01980,C0116,M003,Americano,Coffee,1,22000,22000,2024-09-22,09:41:00
TRX00901,C0104,M015,Cheesecake,Food,1,30000,30000,2025-01-29,14:56:00
TRX01192,C0149,M002,Cappuccino,Coffee,2,30000,60000,2025-06-30,08:42:00
TRX02071,C0066,M010,Roti Bakar,Food,1,20000,20000,2024-10-19,16:54:00
TRX02626,C0107,M013,Vietnamese Drip,Coffee,1,27000,27000,2025-05-15,10:14:00
TRX01725,C0108,M002,Cappuccino,Coffee,1,30000,30000,2024-08-25,14:06:00
TRX00544,C0009,M002,Cappuccino,Coffee,1,30000,30000,2024-11-17,10:07:00
TRX00890,C0061,M005,Matcha Latte,Non-Coffee,1,32000,32000,2025-02-05,10:24:00
TRX02074,C0118,M003,Americano,Coffee,1,22000,22000,2024-10-04,19:53:00
TRX02469,C0109,M001,Kopi Latte,Coffee,1,28000,28000,2025-04-30,18:13:00
TRX02960,C0155,M011,Pasta Carbonara,Food,1,45000,45000,2024-11-02,14:33:00
TRX01499,C0049,M011,Pasta Carbonara,Food,1,45000,45000,2025-06-24,21:20:00
TRX02890,C0021,M002,Cappuccino,Coffee,1,30000,30000,2024-08-21,08:17:00
TRX02238,C0044,M002,Cappuccino,Coffee,1,30000,30000,2024-10-01,19:54:00
TRX01188,C0053,M008,Croissant,Food,1,25000,25000,2024-12-14,08:20:00
TRX01330,C0104,M002,Cappuccino,Coffee,1,30000,30000,2025-03-02,21:32:00
TRX01816,C0128,M007,Teh Tarik,Non-Coffee,1,15000,15000,2024-10-29,20:00:00
TRX01162,C0148,M013,Vietnamese Drip,Coffee,1,27000,27000,2024-11-01,19:57:00
TRX00023,C0013,M012,Caramel Macchiato,Coffee,2,33000,66000,2025-05-07,11:38:00
TRX00444,C0016,M006,Chocolate Frappe,Non-Coffee,1,35000,35000,2024-10-19,14:07:00
TRX02603,C0071,M004,Espresso,Coffee,1,18000,18000,2024-07-03,16:50:00
TRX00255,C0133,M006,Chocolate Frappe,Non-Coffee,1,35000,35000,2024-07-24,11:18:00
TRX01049,C0117,M014,Milo Dinosaur,Non-Coffee,1,25000,25000,2024-07-20,17:02:00
TRX01125,C0161,M012,Caramel Macchiato,Coffee,2,33000,66000,2025-06-13,10:16:00
TRX01810,C0027,M002,Cappuccino,Coffee,1,30000,30000,2025-01-20,20:31:00
TRX00109,C0155,M013,Vietnamese Drip,Coffee,1,27000,27000,2024-12-20,18:13:00
TRX01494,C0082,M001,Kopi Latte,Coffee,1,28000,28000,2025-03-18,10:23:00
TRX00224,C0106,M003,Americano,Coffee,1,22000,22000,2024-07-31,14:24:00
TRX00520,C0113,M002,Cappuccino,Coffee,1,30000,30000,2025-01-20,10:29:00
TRX00727,C0069,M005,Matcha Latte,Non-Coffee,1,32000,32000,2024-11-25,18:12:00
TRX01410,C0063,M009,Sandwich Ayam,Food,1,35000,35000,2025-04-26,20:52:00
TRX01858,C0007,M004,Espresso,Coffee,1,18000,18000,2025-03-30,09:42:00
TRX00399,C0176,M006,Chocolate Frappe,Non-Coffee,2,35000,70000,2024-09-23,15:22:00
TRX01710,C0133,M007,Teh Tarik,Non-Coffee,1,15000,15000,2024-12-06,20:15:00
TRX02487,C0008,M001,Kopi Latte,Coffee,2,28000,56000,2025-03-20,21:04:00
TRX00602,C0087,M011,Pasta Carbonara,Food,1,45000,45000,2024-07-29,11:51:00
TRX00731,C0172,M001,Kopi Latte,Coffee,3,28000,84000,2025-05-03,18:23:00
TRX00765,C0122,M015,Cheesecake,Food,1,30000,30000,2024-08-29,08:10:00
TRX00960,C0110,M012,Caramel Macchiato,Coffee,2,33000,66000,2025-03-24,14:49:00
TRX01299,C0096,M015,Cheesecake,Food,1,30000,30000,2024-07-20,09:24:00
TRX02452,C0072,M012,Caramel Macchiato,Coffee,,33000,66000,2025-02-05,15:39:00
TRX00908,C0069,M003,Americano,Coffee,1,22000,22000,2024-10-16,16:26:00
TRX01901,C0008,M007,Teh Tarik,Non-Coffee,1,15000,15000,2024-08-25,11:03:00
TRX02134,C0186,M011,Pasta Carbonara,Food,2,45000,90000,2024-10-20,12:06:00
TRX02277,C0068,M003,Americano,Coffee,2,22000,44000,2024-09-12,21:06:00
TRX02359,C0091,M015,Cheesecake,Food,2,30000,60000,2025-06-16,12:06:00
TRX02983,C0006,M005,Matcha Latte,Non-Coffee,1,32000,32000,2025-04-22,15:53:00
TRX02232,C0076,M014,Milo Dinosaur,Non-Coffee,2,25000,50000,2025-02-11,13:38:00
TRX00932,C0169,M003,Americano,Coffee,1,22000,22000,2024-09-20,12:18:00
TRX00870,C0119,M002,Cappuccino,Coffee,1,30000,30000,2025-04-21,15:22:00
TRX01153,C0195,M003,Americano,Coffee,1,22000,22000,2024-10-27,09:02:00
TRX02362,C0121,M009,Sandwich Ayam,Food,1,35000,35000,2024-09-24,08:30:00
TRX02346,C0186,M015,Cheesecake,Food,1,30000,30000,2025-01-31,20:22:00
TRX00516,C0196,M013,Vietnamese Drip,Coffee,1,27000,27000,2024-07-08,11:04:00
TRX00907,C0187,M006,Chocolate Frappe,Non-Coffee,2,35000,70000,2024-08-15,21:09:00
TRX02998,C0032,M011,Pasta Carbonara,Food,1,45000,45000,2024-12-01,13:55:00
TRX01756,C0130,M008,Croissant,Food,3,25000,75000,2024-07-12,15:39:00
TRX01901,C0008,M005,Matcha Latte,Non-Coffee,1,32000,32000,2024-08-25,11:21:00
TRX01631,C0120,M013,Vietnamese Drip,Coffee,1,27000,27000,2025-06-30,08:15:00
TRX01471,C0099,M004,Espresso,Coffee,1,18000,18000,2024-11-22,15:39:00
TRX01624,C0156,M005,Matcha Latte,Non-Coffee,1,32000,32000,2025-01-05,09:45:00
TRX02662,C0039,M010,Roti Bakar,Food,2,20000,40000,2025-02-03,14:24:00
TRX01386,C0078,M005,Matcha Latte,Non-Coffee,1,32000,32000,2024-12-16,12:48:00
TRX02323,C0140,M006,Chocolate Frappe,Non-Coffee,3,35000,105000,2024-08-12,16:17:00
TRX00326,C0002,M014,Milo Dinosaur,Non-Coffee,1,25000,25000,2024-07-20,08:43:00
TRX00519,C0063,M001,Kopi Latte,Coffee,3,28000,84000,2025-03-23,11:18:00
